Date,Open
2019-04-01,1184.099976
2019-04-02,1195.319946
2019-04-03,1207.479980
2019-04-04,1205.939941
2019-04-05,1214.989990
2019-04-08,1207.890015
2019-04-09,1196.000000
2019-04-10,1200.680054
2019-04-11,1203.959961
2019-04-12,1210.000000
2019-04-15,1218.000000
2019-04-16,1225.000000
2019-04-17,1233.000000
2019-04-18,1239.180054
2019-04-22,1235.989990
2019-04-23,1250.689941
2019-04-24,1264.119995
2019-04-25,1264.770020
2019-04-26,1269.000000
2019-04-29,1274.000000
2019-04-30,1185.000000
2019-05-01,1188.050049
2019-05-02,1167.760010
2019-05-03,1173.650024
2019-05-06,1166.260010
2019-05-07,1180.469971
2019-05-08,1172.010010
2019-05-09,1159.030029
2019-05-10,1163.589966
2019-05-13,1141.959961
2019-05-14,1137.209961
2019-05-15,1117.869995
2019-05-16,1164.510010
2019-05-17,1168.469971
2019-05-20,1144.500000
2019-05-21,1148.489990
2019-05-22,1146.750000
2019-05-23,1140.500000
2019-05-24,1147.359985
2019-05-28,1134.000000
2019-05-29,1127.520020
2019-05-30,1115.540039
2019-05-31,1101.290039
2019-06-03,1065.500000
2019-06-04,1042.900024
2019-06-05,1051.540039
2019-06-06,1044.989990
2019-06-07,1050.630005
2019-06-10,1072.979980
2019-06-11,1093.979980
2019-06-12,1078.000000
2019-06-13,1083.640015
2019-06-14,1086.420044
2019-06-17,1086.280029
2019-06-18,1109.689941
2019-06-19,1105.599976
2019-06-20,1119.989990
2019-06-21,1109.239990
2019-06-24,1119.609985
2019-06-25,1112.660034
2019-06-26,1086.500000
2019-06-27,1084.000000
2019-06-28,1076.390015
2019-07-01,1098.000000
2019-07-02,1102.239990
2019-07-03,1117.410034
2019-07-05,1117.800049
2019-07-08,1125.170044
2019-07-09,1111.800049
2019-07-10,1131.219971
2019-07-11,1143.250000
2019-07-12,1143.989990
2019-07-15,1146.859985
2019-07-16,1146.000000
2019-07-17,1150.969971
2019-07-18,1141.739990
2019-07-19,1148.189941
2019-07-22,1133.449951
2019-07-23,1144.000000
2019-07-24,1131.900024
2019-07-25,1137.819946
2019-07-26,1224.040039
2019-07-29,1241.050049
2019-07-30,1225.410034
2019-07-31,1223.000000
2019-08-01,1214.030029
2019-08-02,1200.739990
2019-08-05,1170.040039
2019-08-06,1163.310059
2019-08-07,1156.000000
2019-08-08,1182.829956
2019-08-09,1197.989990
2019-08-12,1179.209961
2019-08-13,1171.459961
2019-08-14,1176.310059
2019-08-15,1163.500000
2019-08-16,1179.550049
2019-08-19,1190.089966
2019-08-20,1195.250000
2019-08-21,1193.150024
2019-08-22,1194.069946
2019-08-23,1181.989990
2019-08-26,1157.260010
2019-08-27,1180.530029
2019-08-28,1161.709961
2019-08-29,1181.119995
2019-08-30,1198.500000
2019-09-03,1177.030029
2019-09-04,1176.709961
2019-09-05,1191.530029
2019-09-06,1208.130005
2019-09-09,1204.000000
2019-09-10,1195.150024
2019-09-11,1203.410034
2019-09-12,1224.300049
2019-09-13,1231.349976
2019-09-16,1229.520020
2019-09-17,1230.400024
2019-09-18,1227.510010
2019-09-19,1232.060059
2019-09-20,1233.119995
2019-09-23,1226.000000
2019-09-24,1240.000000
2019-09-25,1215.819946
2019-09-26,1241.959961
2019-09-27,1243.010010
2019-09-30,1220.969971
2019-10-01,1219.000000
2019-10-02,1196.979980
2019-10-03,1180.000000
2019-10-04,1191.890015
2019-10-07,1204.400024
2019-10-08,1197.589966
2019-10-09,1199.349976
2019-10-10,1198.579956
2019-10-11,1222.209961
2019-10-14,1212.339966
2019-10-15,1220.400024
2019-10-16,1241.170044
2019-10-17,1250.930054
2019-10-18,1253.459961
2019-10-21,1252.260010
2019-10-22,1247.849976
2019-10-23,1242.359985
2019-10-24,1260.900024
2019-10-25,1251.030029
2019-10-28,1275.449951
2019-10-29,1276.229980
2019-10-30,1252.969971
2019-10-31,1261.280029
2019-11-01,1265.000000
2019-11-04,1276.449951
2019-11-05,1292.890015
2019-11-06,1289.459961
2019-11-07,1294.280029
2019-11-08,1305.280029
2019-11-11,1303.180054
2019-11-12,1300.000000
